TIC ID,Imaging Observations,Spectroscopy Observations,Time Series Observations,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Predicted Radial Velocity Semi-amplitude (m/s),TESS Mag,TESS Mag err,Planet Num,TESS Disposition,TFOPWG Disposition,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Comments,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,score_m,score_obs,priority_score
410153553,5,1,11,136.01,,1,5,5,5,4,1,4,38.2,326.7,2.92,8.2,11.9238,0.008,1,PC,CP,spoc,UNKNOWN,340.496204,-69.172108,334.357,0.083,-726.974,0.086,2459036.323679,0.00038085453,0.46288440527326,1.5224909e-05,0.55882192078813,0.08828183,4.885837,0.188836,4489.9119215305,173.90933,1.35432368024304,0.18157507,64.718104042017,723.39615494047,25.038494,14.8846,0.0113,3043.0,63.0,5.09707,0.426694,0.188624,0.00571031,,,0.157909,0.0200668,"1,27",Level 1 target. Potential short period small planet around an M dwarf.,2018-09-05,2020-10-27,2025-07-31,0.7510601904761904,0.7511536844153778,0.7511069374457842
52280468,1,0,7,472.01,,5,5,5,5,3,5,5,1853.8,1718.8,317.0,388.5,12.3123,0.007,1,PC,APC,qlp-s33-tois,UNKNOWN,99.86703,-33.540223,45.069,3.739,18.418,3.739,2459226.783631,0.001587,0.5682596,1.2e-06,0.755,0.0,47.198401,0.000913,42540.0,0.841172,24.8489,0.784699,138.045,954.0,136.0,,,3294.0,,4.438,,0.5,0.02,,,0.500534,0.0209425,"6,7,33",no GAIA radius with Teff 3869K; large planet around an M star if real,2019-02-22,2022-07-11,2025-07-31,0.4359047619047619,0.9168599999999999,0.6763823809523809
165827520,6,1,8,3494.01,,2,4,4,2,3,4,4,1.9,76.9,5.56,4.1,12.295,0.007,1,PC,PC,spoc-s01-s39-b0A-PC,SPOC,204.391966,-37.183458,-206.489,0.127,-16.674,0.154,2459310.020628,0.0020447692,7.7486119617927,2.2258037e-05,1.3743368591708,0.34596077,5.578685,0.489279,5124.9808086499,450.5409,2.21688276058385,0.79533786,3.6244475271488,351.90886205388,10.69108,33.7173,0.08385,3230.0,157.0,4.91717,0.00480017,0.307821005582809,0.00918622,,,0.285561,0.0201715,"11,37",potential L1 candidate,2021-06-21,2022-03-21,2025-07-31,0.591452662944794,0.7485805139041282,0.6700165884244611
192833836,2,0,1,7384.01,TIC 192833836.01,3,4,3,3,3,4,4,4.2,90.0,14.7,11.7,13.694,0.008,1,PC,PC,spoc-s87-b02,CTOI,83.103183,-39.83425,-45.865,0.083,-102.014,0.102,2460668.525654,0.0025684808,6.2335155162167,0.0014055707,1.5179746371722,0.20567618,15.196893,1.603786,13899.355596619,1476.0515,3.928667489501347,0.404057,4.8420828047713,378.33611732514,5.7738547,66.7902,0.19805,3211.0,157.0,4.91063,0.00383295,0.31393200159072876,0.00949836,,,0.292574,0.0202594,87,CTOI from Dax Felix,2025-04-10,2025-04-10,2025-07-31,0.595521522749038,0.7395630884958228,0.6675423056224303
305048087,2,1,10,237.01,,1,5,5,1,4,4,4,1.4,69.7,3.6,4.1,13.4102,0.007,1,PC,CP,spoc-s01-s69-b0A-CP,SPOC,353.243538,-29.416487,151.047,0.108,-333.194,0.156,2458355.241753,0.0023189057,5.436166729047,1.6691933e-05,1.5419673451558,0.24481376,5.220949,0.79906,4797.1288482223,735.69073,1.7175409297667157,0.21279782,3.6311669075857,352.07185016246,8.17232,38.0749,0.22785,3139.0,98.0,5.04944,0.547167,0.21129900217056272,0.0065435,,,0.180288,0.0201408,"2,29,69",TOI-237 b,2018-11-29,2025-08-15,2025-09-18,0.6948006652196248,0.613933385093939,0.6543670251567819
73692250,0,0,2,7437.01,,3,4,4,3,1,4,4,107.1,388.2,112.16,111.9,13.9856,0.008,1,PC,PC,qlp-s85-faintsearch,FAINT,40.081778,35.410409,76.39,0.15,-28.694,0.134,2460630.908505,0.0002507,2.5726086,8e-07,0.927,0.002,55.722988,0.768178,50028.0,707.268,13.0131,0.39742,9.86195,493.0,33.0,84.913,0.62875,3163.0,157.0,4.88,,0.34,0.01,,,0.321705,0.0203394,"58,85",found in faint-star QLP search,2025-05-01,2025-05-01,2025-11-11,0.5987142857142856,0.6994866666666667,0.6491004761904762
335590096,2,1,4,4860.01,,3,5,5,3,4,4,4,97.7,306.1,60.97,69.6,13.7726,0.008,1,PC,CP,qlp-s36-faintsearch,FAINT,183.563961,-13.174841,-177.244,0.211,-5.516,0.165,2459304.245613,0.0005869,1.5229985,7.04e-05,1.196,0.156,64.9419,0.113262,58060.0,104.313,8.99483,0.485033,37.1159,687.0,66.0,80.1423,0.643,3237.0,157.0,4.87,,0.35,0.01,,,0.337566,0.0205314,36,found in faint-star QLP search,2021-12-21,2024-08-22,2025-07-31,0.5603333333333333,0.7368533333333334,0.6485933333333334
142748283,3,0,5,2096.02,,2,5,5,2,4,4,4,1.5,59.4,4.83,4.6,13.4764,0.007,2,PC,CP,spoc-s14-s60-b0A-PC,SPOC,151.618699,74.827211,-26.044,0.076,-75.114,0.094,2458687.53823,0.001195639,6.3878201573201,1.4038233e-05,1.4551850733439,0.16032846,6.377871,0.462591,5857.0164704448,425.97147,2.04147104355437,0.18525308,3.8775284910357,357.89736337541,15.516945,48.4809,0.098,3285.0,157.0,4.98992,0.014318,0.247330993413925,0.00734744,,,0.217977,0.0200839,"14,20,21,40,41,47,53,60",L1 candidate in possible multi-planet system,2020-07-15,2023-05-19,2025-07-31,0.6082079091526214,0.672730184387246,0.6404690467699337
419411415,1,1,5,5205.01,,3,5,5,3,4,4,4,128.3,330.9,85.22,86.7,13.6136,0.009,1,PC,CP,qlp-s41-faintsearch,FAINT,313.770682,24.360977,41.772,0.079,52.161,0.075,2459443.470673,0.0005016,1.6306523,5.68e-05,1.202,0.083,76.518468,0.040249,68050.0,37.07,11.1125,0.428663,30.1966,653.0,84.0,86.4493,0.41585,3262.0,157.0,4.83,,0.4,0.01,,,0.388752,0.0203937,41,found in faint-star QLP search,2022-02-28,2024-08-22,2025-07-31,0.5162857142857142,0.7582533333333334,0.6372695238095238
458419328,1,3,3,3785.01,,3,5,5,3,4,4,4,10.8,84.9,20.04,12.2,12.4963,0.007,1,PC,CP,qlp-s47-tois,FAINT,130.900226,63.078077,-42.903,0.04,-17.033,0.049,2459604.77275,0.0011793,4.6747218,1.12e-05,1.61,0.15,8.93974,0.008169,8200.0,7.52428,4.73219,0.206202,11.5347,513.0,20.0,79.7634,0.22365,3502.0,157.0,4.74,0.01,0.5,0.01,,,0.496104,0.0203333,"20,47",found in faint-star QLP search,2021-06-23,2024-08-22,2025-07-31,0.3467619047619047,0.9208266666666668,0.6337942857142858
459837008,4,0,10,2267.01,,2,4,4,2,4,4,4,2.3,11.9,2.16,2.6,12.2591,0.007,1,PC,CP,spoc-s14-s60-b0A-PC,SPOC,65.061496,84.900824,192.45,2.0,-218.94,2.0,2458816.152459,0.0008326795,3.4950422219278,8.661664e-06,1.0311342100465,0.112701,2.178463,0.222571,2004.4269029649,204.97464,1.27344225717322,0.1111988,6.0694988829444,400.32061805719,10.658578,,,3022.0,157.0,4.99625,0.013126,0.242744997143745,0.00799628,,,0.21305,0.0204176,"19,20,25,26,40,52,53,59,60",low MES,2020-09-30,2023-05-18,2025-08-20,0.7239795257136938,0.5335119592387421,0.628745742476218
161032923,1,0,13,1080.01,,1,4,4,1,3,4,4,1.7,11.4,2.04,2.7,12.7067,0.007,1,PC,PC,spoc-s01-s69-b0A-PC,SPOC,276.368325,-52.214573,-270.293,0.107,-69.552,0.109,2458654.060577,0.0012185588,3.9652484553964,1.216172e-05,1.0112592832945,0.57404715,4.003701,0.497455,3680.7544436395,458.06815,1.23051019500343,1.0583848,5.2829447924808,386.66847683113,8.871182,25.559,0.0541,3296.0,64.0,4.96636,0.407584,0.19998799264431,0.00598117,,,0.168986,0.0200576,"13,66",L1 candidate,2019-08-16,2024-04-24,2025-07-31,0.6350556239514124,0.6072756649343101,0.6211656444428613
259168516,6,1,11,1680.01,,2,5,5,2,4,4,4,1.2,9.0,2.61,3.1,13.3081,0.007,1,PC,CP,spoc-s14-s60-b0A-PC,SPOC,292.313979,65.973802,56.574,0.104,-131.332,0.094,2459657.394071,0.0027612,4.8026560812477,5.3177664e-06,1.1658647662903,0.16402517,4.742105,0.195948,4358.1157677821,180.45848,1.42024592024071,0.3005025,4.4510969247209,370.45589702913,26.47739,37.2209,0.06155,3231.0,157.0,5.04064,0.0219142,0.213458999991417,0.00640239,,,0.182476,0.0200755,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59",,2020-01-30,2023-05-25,2025-07-31,0.6539320952438172,0.5864314202989114,0.6201817577713643
352147273,3,0,0,6225.01,,3,4,3,3,4,4,4,5.2,75.3,23.3,12.6,13.104,0.007,1,PC,PC,qlp-s57-faintsearch,FAINT,0.485039,35.997774,39.607,0.063,-59.835,0.043,2459867.415663,0.0030882,8.555965,2.89e-05,1.865,0.302,13.517614,0.955626,12373.0,879.777,5.09342,0.256758,4.00885,394.0,11.0,83.7373,0.3534,3376.0,157.0,4.79,0.01,0.44,0.01,,,0.44118,0.0203153,"17,57",found in faint-star QLP search,2023-04-03,2024-08-22,2025-07-31,0.44076190476190474,0.7949605250000001,0.6178612148809525
22233480,5,2,4,4438.01,,1,5,5,1,4,4,4,3.4,94.7,6.38,4.1,11.2695,0.007,1,PC,CP,spoc-s14-s55-b0A-PC,SPOC,270.317239,35.594899,29.109,0.043,-571.47,0.049,2459396.409578,0.00075457105,7.4463033768041,2.3020093e-05,2.0033137761697,0.15890975,4.401499,0.139295,4045.7241784744,128.28719,2.40486443504248,0.3086393,5.6286113934149,392.84394706471,23.146442,30.0346,0.0233,3353.0,157.0,4.84911,0.00161128,0.375858992338181,0.0111301,,,0.363996,0.0201927,"40,52,53",potential L1 planet,2021-09-09,2023-03-09,2025-07-31,0.4933797193935936,0.7269081540230623,0.6101439367083279
237405551,0,0,1,7544.01,,3,4,3,3,1,4,4,,,,,13.8448,0.007,1,PC,PC,qlp-s87-faintsearch,FAINT,95.9969,-36.528216,-3.595,0.06,4.521,0.06,2460687.387037,0.0039756978286172,4.8744902675794,0.0015713313846874,1.6654244344643,6.6691545826046,22.437253,2.446059,20453.406547262,2250.3680310567,6.249465009595949,1.6983184863783916,52.491476360581,749.85592170498,19.182202020441,99.9963,0.3623,3394.0,157.0,4.84737,0.00186041,0.377716,0.011262,,,0.366125,0.0202502,87,found in faint-star QLP search,2025-10-30,2025-10-30,2025-10-31,0.4745702857142857,0.7428741478154768,0.6087222167648813
286201103,2,1,10,6008.01,,2,5,5,2,4,4,4,10.0,18.2,2.09,4.1,12.2936,0.007,1,PC,CP,spoc-s14-s60-b0A-PC,SPOC,310.448734,49.646899,158.442,0.102,44.404,0.093,2458711.372904,0.0005047708,0.85737269789435,1.4038113e-05,0.54785980763908,0.10237745,2.223375,0.293242,2045.7091220809,270.04935,1.24654783562971,0.15803361,42.012202005404,649.32722270026,8.719756,23.1008,0.0292,3098.0,157.0,5.00721,0.0168336,0.235047996044159,0.00699863,,,0.204861,0.0200791,"15,16,41,55,56",sub-Earth candidate,2022-12-01,2023-05-19,2025-07-31,0.6965394312086559,0.5161053900211081,0.606322410614882
200593988,14,1,1,526.01,,5,5,5,5,5,5,5,14.2,134.9,34.1,18.5,12.3069,0.007,1,PC,FP,spoc,SPOC,85.335762,11.194448,83.783,0.1,-29.865,0.076,2458470.849292,0.004324,7.699087,0.003345,4.380607,0.39642,8.80014,0.679566,8072.469566,625.70715,6.21451,8.41901,8.7213045560084,438.29358350022,16.209078,70.9325,0.2068,3617.0,67.0,4.81052,0.362772,0.45,0.07,,,0.464152,0.0203707,6,possibly marginal,2019-03-28,2019-03-28,2025-07-31,0.3308095238095238,0.8789169116666666,0.6048632177380953
20182780,1,1,5,3984.01,,3,5,5,3,4,4,4,19.0,113.6,41.6,27.3,13.4609,0.007,1,PC,CP,qlp-s51-tois,FAINT,226.337147,36.786975,-48.936,0.051,42.685,0.055,2459715.022491,0.0011495,4.3533211,8.6e-06,1.894,0.137,23.86426,0.01137,21740.0,10.4724,7.17236,0.270225,14.9972,548.0,35.0,108.883,0.4305,3422.0,157.0,4.77,0.01,0.46,0.01,,,0.461976,0.0203091,"23,24,50,51",found in faint-star QLP search,2021-06-23,2024-08-22,2025-07-31,0.4077142857142857,0.8016800000000001,0.6046971428571428
432008938,2,0,0,643.01,,5,5,5,5,5,5,5,9.7,143.4,51.79,31.9,13.7006,0.007,1,PC,FP,spoc,SPOC,120.69393,-23.696727,100.619,0.058,-195.052,0.06,2458522.349321,0.003658,9.653456,0.002539,4.00937,0.258226,47.820639,4.558786,43088.5649,4189.9946,7.281973,1.406418,3.1265702202429,339.14607583089,13.058762,87.7731,0.34095,3359.0,69.0,4.93457,0.410313,0.315,0.055,,,0.341657,0.0202832,8,period might be double; crowded field,2019-04-11,2019-04-11,2025-07-31,0.5313809523809523,0.6699619933333334,0.6006714728571428
151825527,4,1,8,672.01,,3,5,5,3,4,4,4,23.5,134.6,23.38,14.7,11.6739,0.007,1,PC,CP,spoc-s01-s65-b0A-PC,SPOC/QLP,167.990863,-39.328115,85.141,0.046,-74.728,0.038,2458546.478904,0.00023243923,3.6335834172318,1.8777378e-06,1.8069693346964,0.053076033,9.452671,0.139451,8668.4420488879,128.4311,5.161485402281121,0.22199042,33.474163607326,613.47544339,72.58985,66.9071,0.15285,3765.0,65.0,4.75169,0.342271,0.5440679788589478,0.016274,,,0.539888,0.0203613,"9,10,36,63",,2019-05-07,2025-07-09,2025-09-18,0.20466896647498717,0.99356564448988,0.5991173054824336
178709444,2,0,5,762.01,TIC 178709444.01,4,5,5,4,4,4,4,30.1,149.0,49.53,37.3,13.6615,0.007,1,PC,CP,spoc,UNKNOWN,166.074742,-47.821496,-159.157,0.07,-24.515,0.067,2459329.505631,0.0008324,3.4716808020319,3.2942403e-06,1.3816977728099,0.044831026,33.770063,0.877706,30624.643459913,808.0704,8.02723404523397,0.29949307,17.001217020345,517.89265579447,40.89199,98.4458,0.4309,3399.0,102.0,4.91468,0.484981,0.426784992218018,0.0130268,,,0.421357,0.020525,"10,36,37",epoch from qlp-s37-tois; all other parameters from spoc-s01-s39 multisector,2019-06-11,2021-11-09,2025-07-31,0.43971476709274987,0.7578565924269967,0.5987856797598733
336128819,6,0,7,2136.01,,2,5,5,2,4,4,4,2.4,80.4,5.36,3.6,11.7371,0.007,1,PC,CP,spoc-s14-s41-b0A-PC,SPOC,281.176343,36.563132,-33.8,0.103,177.358,0.112,2459394.593726,0.002155869,7.8519082040464,3.6743193e-05,1.6318725956817,0.27211654,4.214266,0.289701,3873.959149167,266.78912,2.17058026165306,0.5446732,4.8904687957507,379.27775582557,14.27448,33.3631,0.06425,3384.0,157.0,4.87998,0.000834811,0.343879997730255,0.0103308,,,0.327134,0.0202642,"26,40",,2020-08-07,2022-02-15,2025-07-31,0.5014133348464966,0.6948671953953873,0.598140265120942
141608198,1,0,3,210.01,,1,5,5,1,3,4,4,1.3,55.6,5.28,3.5,12.5395,0.008,1,PC,PC,spoc-s01-s39-b0A-PC,SPOC,88.96184,-73.985288,80.456,0.078,-139.153,0.114,2459338.99312,0.004372806,9.0105413669537,9.414113e-06,1.8443264188546,0.11363892,4.488002,0.11121,4125.0712999876,102.422775,2.15136821632899,0.2008962,3.3568204578542,345.22467432797,37.48086,42.8091,0.09895,3275.0,,4.438,,0.330146014690399,0.00996591,,,0.311261,0.0202744,"1,2,3,4,5,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,37,38,39",,2019-05-07,2022-03-21,2025-07-31,0.5572836092540197,0.6327251307898559,0.5950043700219378
348755728,5,1,7,1883.01,TIC 348755728.01,3,5,5,3,4,4,4,11.3,77.0,26.47,16.5,13.3462,0.008,1,PC,CP,spoc-s01-s65-b0A-PC,CTOI,134.089246,-12.930644,30.75,0.106,3.168,0.192,2459256.846553,0.0009869159,4.5063838083807,1.0290527e-05,2.0392006834635,0.1765048,13.682485,0.65395,12522.96136617,602.1286,5.55217342792474,0.5160709,17.943561028779,524.92457900698,17.854677,115.369,0.8545,3477.0,157.0,4.74303,0.008219,0.493575990200043,0.0149633,,,0.491671,0.0205038,"8,35,61",Match to TOI 633; Will Waalkes and Zach Berta-Thompson observed a full on 20190425 and ruled out a transit on TOI 633 but confirmed a 9.6 ppt event on 348755728; CTOI from Karen Collins,2020-05-29,2024-01-16,2025-07-31,0.3617588636761617,0.8198533219422751,0.5908060928092185
166648874,5,1,21,1806.02,,1,4,4,1,4,4,4,2.1,57.0,8.1,4.8,12.6196,0.008,2,PC,PC,spoc-s14-s50-b0A-PC,SPOC,166.118147,30.458576,-163.272,0.105,-40.435,0.131,2458905.228249,0.0015391626,8.1960757621546,2.9190258e-05,1.4883226585859,0.42788842,5.114482,0.521668,4699.5344471741,480.3587,2.76636579248788,1.1999038,4.8692389091549,378.86546585475,7.978372,55.5211,0.1999,3272.0,157.0,4.82521,0.0034367,0.401574999094009,0.0119287,,,0.393258,0.0202403,"22,48",potential multi,2022-11-16,2022-11-15,2025-07-31,0.510950000603994,0.6683523746278057,0.5896511876158999
90504905,5,0,8,1234.01,,5,5,5,5,5,5,5,19.8,103.2,23.63,21.2,13.7991,0.008,1,PC,FP,spoc-s14-b02,SPOC,290.57223,26.319493,-29.235,0.059,-14.449,0.063,2458685.613152,0.0053327708,2.264538611452,0.0010603992,3.8193701401258,0.4799231,16.431406,1.895756,15019.942090293,1744.5321,5.19367635806677,0.5849404,34.187389707714,616.71744754033,7.442371,104.912,0.4445,3443.0,157.0,4.81617,0.00428335,0.411471,0.012407,,,0.404369,0.0203876,"14,40",Period may be at another multiple,2019-10-17,2022-03-28,2025-07-31,0.4310669523809524,0.7297971643312369,0.5804320583560947
